kshama                      ,	क्षमा               ,	क्	मम               
zero                        ,	झीरो                ,		ेरो                
rohan                       ,	रोहन                ,	रोहन                
yethe                       ,	येथे                ,	ये	े                
nabhi                       ,	नभी                 ,	नाीी                
zunja                       ,	झुंज                ,		ुंजा               
beebi                       ,	बेबी                ,	बीबी                
linc                        ,	लिंक                ,	लिं्क               
tide                        ,	टाईड                ,	तिये                
vaachane                    ,	वाचणे               ,	वाचने               
vightnaapayshaa             ,	विघटनापेक्षा        ,	वि	्णापप्शय         
paleeche                    ,	पाळीचे              ,	पालीचे              
awayawanchi                 ,	अवयवांची            ,		वयवाांची           
vasundhara                  ,	वसुंधरा             ,	वसुंुाा             
beena                       ,	बिना                ,	बीना                
baubbi                      ,	बॉबी                ,	बाबबी               
mahimeantargat              ,	मोहिमेअंतर्गत       ,	महिमेेततर्गग        
kshtrap                     ,	क्षत्रप             ,	क्	्त्रप            
beard                       ,	बिअर्ड              ,	बिरर्               
karepataar                  ,	करेपटार             ,	करेपाार             
turoongat                   ,	तुरूंगात            ,	तुरूंगात            
mukkam                      ,	मुक्काम             ,	मुकककम              
maval                       ,	मवाळ                ,	मावल                
jivani                      ,	जीवनी               ,	हिवणी               
pathavi                     ,	पाठवी               ,	पाावी               
shivapratishthaanachee      ,	शिवप्रतिष्ठानची     ,	शिवप््व््ििानाीी    
vij                         ,	वीज                 ,	विज                 
paryavekshak                ,	पर्यवेक्षक          ,	पर्यवेेक्कक         
narayan                     ,	नारायण              ,	नारायन              
achook                      ,	अचुक                ,		चूक                
satkarm                     ,	सत्कर्म             ,	सातकर्म             
los                         ,	लॉस                 ,	लोस                 
yoonuus                     ,	युनूस               ,	यूनूनस              
jaaniva                     ,	जाणीवा              ,	जानिवा              
jijabainna                  ,	जिजाबाईंना          ,	जिजाबांंना          
nakshalwaad                 ,	नक्षलवाद            ,	नक्	लवााा           
svachchataagruhe            ,	स्वच्छतागृहे        ,	स्वच्ततागाहेे       
rudhinmadhe                 ,	रूढींमध्ये          ,	रु	िंममे            
kapurchya                   ,	कपूरच्या            ,	कपूरच्या            
dalaateel                   ,	दलातील              ,		ळातील              
chaibasa                    ,	चैबासा              ,	चाबबाा              
stutya                      ,	स्तुत्य             ,	स्तुत्या            
aamlapittaache              ,	आम्लपित्ताचे        ,		मललपित्तााचे       
basow                       ,	बसोव                ,	बासोव               
hitalarachya                ,	हिटलरच्या           ,	हितााराच्या         
kaltanee                    ,	कलाटणी              ,	कल्तनी              
paishansaathi               ,	पैशांसाठी           ,	पाशांसााी           
warshabharaachyaa           ,	वर्षभराच्या         ,	वर््ााााच्या        
tilanjali                   ,	तिलांजली            ,	तिलांजल             
pulajawal                   ,	पुलाजवळ             ,	पुलाजवव             
dinakramaamule              ,	दिनक्रमामुळे        ,		िनक्रममामुळे       
palale                      ,	पळाले               ,	पालले               
undarson                    ,	अँडरसन              ,		ंंररोन             
vibhagache                  ,	विभागाचे            ,	वि	ागाचे            
khandobach                  ,	खंडोबाचं            ,		ंंोोबच             
utpaadanaanmadhye           ,	उत्पादनांमध्ये      ,		त्पाानांमम्ये      
mahaasattaa                 ,	महासत्ता            ,	महास््ता            
meetarmadhye                ,	मीटरमध्ये           ,	मीतरमम्ये           
utsavateel                  ,	उत्सवातील           ,		त्सावतील           
rajesh                      ,	राजेश               ,	राजेश               
katadeecha                  ,	कातडीचा             ,	कातीीचा             
aathawalyaasaarakhaa        ,	आठवल्यासारखा        ,			वलल्याााराा       
pachayla                    ,	पचायला              ,	पाचाया              
paishaasaathee              ,	पैशासाठी            ,	पाशासााीी           
dusaryachee                 ,	दुसऱ्याची           ,		ुसरर्याची          
jo                          ,	जो                  ,	जो                  
vibhagaavar                 ,	विभागावर            ,	वि	ागावर            
sangneamule                 ,	सांगण्यामुळे        ,	संंगेेमुुे          
pathbadavar                 ,	पाठबळावर            ,	पाबबाावर            
suchana                     ,	सुचना               ,	सुचना               
mohimedaramyan              ,	मोहिमेदरम्यान       ,	मोहिमेारम््ानन      
matee                       ,	मेट                 ,	मतीी                
udya                        ,	उद्या               ,			्या               
nachvat                     ,	नाचवत               ,	नाचवा               
dakaghar                    ,	डाकघर               ,	कककाार              
otoon                       ,	ओतून                ,	बाून                
miqee                       ,	मिकी                ,	मिकिी               
prayoganantar               ,	प्रयोगानंतर         ,	प्रयोगनंंतर         
pathbalavar                 ,	पाठबळावर            ,	पााळाावर            
zankaarlel                  ,	झंकारलेलं           ,		ाककरललल            
patan                       ,	पाटण                ,	पतन                 
satkar                      ,	सत्कार              ,	साककर               
paklee                      ,	पाकळी               ,	पककली               
controls                    ,	कन्ट्रोल्स          ,	कंं््र्लस           
quick                       ,	क्विक               ,	कुयिक               
sambandhanvishyeechea       ,	संबंधांविषयीच्या    ,	संबंंांविियीचचे     
dawood                      ,	दाऊद                ,		ावू                
moore                       ,	मोरे                ,	मूरे                
rajanvirodhat               ,	राजांविरोधात        ,	राजांविरोाात        
reach                       ,	रीच                 ,	रिच                 
rilif                       ,	रिलीफ               ,	रिलि                
baabhlichi                  ,	बाभळीची             ,	बाललीची             
yanchyamadhye               ,	यांच्यामध्ये        ,	यांच्याम््ये        
graham                      ,	ग्रॅहम              ,	ग्राम               
sunavale                    ,	सुनावले             ,	सुनावले             
rajasthanatoon              ,	राजस्थानातून        ,	राजस््ानतनन         
fiid                        ,	फीड                 ,		िय                 
pasha                       ,	पाशा                ,	पाशा                
vahtukeechee                ,	वाहतुकीची           ,	वाहतुकीची           
kharval                     ,	खरवळ                ,		रववल               
satarave                    ,	सतरावे              ,	सतराववे             
aaropeemvirudha             ,	आरोपीमविरुद्ध       ,		रोपीमविरुक         
chinchwad                   ,	चिंचवड              ,	चिंच्ाा             
dandvate                    ,	दंडवते              ,		ंं्वते             
lawyer                      ,	लॉयर                ,	लावययर              
chhata                      ,	छटा                 ,		ाता                
bishnupur                   ,	विष्णुपुर           ,	बि््णुपुर           
raajaanwirodhaat            ,	राजांविरोधात        ,	राजांवििरोाात       
pramukhant                  ,	प्रमुखांत           ,	प्रमुुांत           
traqing                     ,	ट्रॅकिंग            ,		्राकिंग            
jamirmadhye                 ,	जमीरमध्ये           ,	जमिरमम््े           
sopaareananter              ,	सोपाऱ्यानंतर       ,	सोपरेननंरर          
barbaad                     ,	बरबाद               ,	बारबा               
rokhala                     ,	रोखला               ,	रो	ााा              
pitali                      ,	पितळी               ,	पितली               
aajamitis                   ,	आजमितीस             ,		जािततसस            
kripa                       ,	कृपा                ,	क्रिपा              
miikee                      ,	मिकी                ,	मिकीय               
shetkareancheababat         ,	शेतकऱ्यांच्याबाबत  ,	शेतकरेचंचेबाबत      
khasabag                    ,	खासबाग              ,		ासाा               
paddhticha                  ,	पद्धतीचा            ,	पा्््ीचा            
calhoun                     ,	कॅलहौन              ,	कालहहून             
dhwaniche                   ,	ध्वनीचे             ,		्वनीचे             
sanskaracha                 ,	संस्काराचा          ,	संस्कााचच           
ghatasthapana               ,	घटस्थापना           ,	तास्तापणा           
bhagwantache                ,	भगवंताचे            ,		गवंंताचे           
bhooprushtaakhaali          ,	भूपृष्ठाखाली        ,		ूप्््ा्ाााली       
shivasainikaanviruddha      ,	शिवसैनिकांविरुद्ध   ,	शिवसाननकाांंिरुु््  
suranchi                    ,	सुरांची             ,	सुरांची             
maahaamargachee             ,	महामार्गाची         ,	महामार्गााी         
rakhadalaa                  ,	रखडला               ,	राााला              
vebsaitsvirodhaat           ,	वेबसाइट्सविरोधात    ,	वेबससत््विररोाात    
shaw                        ,	शॉ                  ,	शाव                 
tamalvadit                  ,	तामलवाडीत           ,	तालाववित            
sambandhachya               ,	संबंधाच्या          ,	संबंबाच्या          
falandaajeechee             ,	फलंदाजीची           ,		लंााजजीच           
navnavin                    ,	नवनवीन              ,	नवनाववनन            
aajmitis                    ,	आजमितीस             ,		जमितीस             
suraksheche                 ,	सुरक्षेचे           ,	सुरक्ेेचे           
barobarinech                ,	बरोबरीनेच           ,	बारबबरीनेच          
taratareet                  ,	तरतरीत              ,	तराररर              
rugnaalayaasandarbhaat      ,	रुग्णालयासंदर्भात   ,	रुग्णालयासससंर्ाात  
tapmanavar                  ,	तापमानावर           ,	तपपमााावर           
kaarvaaechee                ,	कारवाईची            ,	कररवाचची            
ayoowa                      ,	आयोवा               ,		यूवा               
bhushan                     ,	भूषण                ,		ुशण                
wajlyaapaasoon              ,	वाजल्यापासून        ,	वाजल्यापााूून       
sinha                       ,	सिन्हा              ,	सिंहा               
gulmarg                     ,	गुलमर्ग             ,	गुलमार्             
potnivadnukeesatheechee     ,	पोटनिवडणुकीसाठीची   ,	पोतनिवानुकीसाीीची   
baltimore                   ,	बाल्टिमोर           ,	बालिममरर            
aadi                        ,	आदी                 ,		ाी                 
behere                      ,	बेहरे               ,	बेहेरे              
molina                      ,	मॉलिना              ,	मोलिना              
shail                       ,	शेल                 ,	शालल                
agra                        ,	अग्र                ,		ग्ाा               
basawava                    ,	बसवावा              ,	बसववाा              
silvasa                     ,	सिल्व्हासा          ,	सिल्वासा            
andhkarmay                  ,	अंधकारमय            ,		ंककारमयय           
trenton                     ,	ट्रेंटन             ,	त्रेंेनन            
aarakshanaavar              ,	आरक्षणावर           ,		रक््णावर           
janawaranchi                ,	जनावरांची           ,	जनाारांचची          
manjoor                     ,	मंजुर               ,	मंजूर               
enzyme                      ,	एंझाईम              ,		ननिममे             
prakrnanaahi                ,	प्रकरणांनाही        ,	प्रक्रानाहह         
majbuteekaran               ,	मजबुतीकरण           ,	मजबुतीकरण           
mosley                      ,	मॉस्ले              ,	मोस्ली              
chini                       ,	चिनी                ,	चिनी                
solanki                     ,	सोळंकी              ,	सोळांकी             
masemarivar                 ,	मासेमारीवर          ,	मससमारीवर           
vaparata                    ,	वापरता              ,	वापरता              
prasuti                     ,	प्रसूति             ,	प्रसुती             
mandiravishayeechea         ,	मंदिराविषयीच्या     ,	मंंिरावििययीच       
milion                      ,	मिलियन              ,	मिलिनन              
mulansathi                  ,	मुलांसाठी           ,	मुलांसााी           
naukar                      ,	नोकर                ,	नाकरर               
busgaadyaanmadhye           ,	बसगाड्यांमध्ये      ,	बुसगगााययांमम्ये    
yanchyapeksha               ,	यांच्यापेक्षा       ,	यांच्यापेक्ाा       
ranichya                    ,	राणीच्या            ,	रणणीच्या            
changalach                  ,	चांगलाच             ,	चांगाचच             
putta                       ,	पुट्टा              ,	पुत्त               
taatkal                     ,	तात्काळ             ,	ताककल               
thamabai                    ,	ठमाबाई              ,	शााबाा              
thecharsobat                ,	थॅचरसोबत            ,	चेचारसोबत           
halat                       ,	हलत                 ,	हलतत                
beshuddhpanaamule           ,	बेशुद्धपणामुळे      ,	बेशशश््पणामुळे      
lekhateel                   ,	लेखातील             ,	ले	तील              
roonii                      ,	रूनी                ,	रूनिय               
kalar                       ,	कलर                 ,	कारर                
prayogatil                  ,	प्रयोगातील          ,	प्रयोगातील          
poole                       ,	पूल                 ,	पुले                
aashevar                    ,	आशेवर               ,		शेवर               
joq                         ,	जॉक                 ,	जोक्स               
bahineechyaa                ,	बहिणीच्या           ,	बािणीीचया           
ashahee                     ,	अशाही               ,		शाही               
pudukkottai                 ,	पुदुकोट्टाई         ,	पुक्तकोत्तता        
prashanansaathee            ,	प्रश्नांसाठी        ,	प्रशाननासाीी        
raykar                      ,	रायकर               ,	रायकर               
bhookampane                 ,	भूकंपाने            ,		ूकांपेे            
jabalpur                    ,	जबलपूर              ,	जबललपूर             
aagekooch                   ,	आगेकूच              ,"		गेकूच             
"
upyogi                      ,	उपयोगी              ,		पयोगी              
madar                       ,	मदर                 ,	मारर                
pathavnyas                  ,	पाठवण्यास           ,	पाावण्यास           
ayoova                      ,	आयोवा               ,		यूवा               
groundvrch                  ,	ग्राऊंडवरचं         ,	ग्रूं््रच           
reghaanchya                 ,	रेघांच्या           ,	रे	ांच्या           
bronkaytis                  ,	ब्राँकायटिस         ,	ब्रोककययीसस         
balakanchee                 ,	बालकांची            ,	बालकांची            
boardache                   ,	बोर्डाचे            ,	बोर्ााचे            
vaganook                    ,	वागणूक              ,	वागणूक              
bahinichya                  ,	बहिणीच्या           ,	बहिनीच्या           
aasaram                     ,	आसाराम              ,		सरम                
mohimecha                   ,	मोहिमेचा            ,	मोहिमेचा            
chukli                      ,	चुकली               ,	चुकली               
agdi                        ,	अगदी                ,		ग्ीी               
hiropanti                   ,	हिरोपनती            ,	हिरोपंंती           
chembond                    ,	चेंबॉण्ड            ,	चेंबबन              
magdum                      ,	मगदूम               ,	मगमूमम              
suvarnayog                  ,	सुवर्णयुग           ,	सुवर्णयोो           
aarakhade                   ,	आराखडे              ,		राााे              
lavanyasathee               ,	लावण्यासाठी         ,	लाणण्यासाीी         
paddhatee                   ,	पध्दती              ,	पा््ती              
tukadilaa                   ,	तुकडीला             ,	तुकाीला             
chadhaayalaa                ,	चढायला              ,	चााययला             
er                          ,	इयर                 ,	रर                  
sanad                       ,	सनद                 ,	साना                
sheareemadhye               ,	शेअरीमध्ये          ,	शेररीम््ये          
aaikadun                    ,	आईकडून              ,			ककून              
prashnaanmule               ,	प्रश्नांमुळे        ,	प्रश्नांमुळे        
matadaaraalaa               ,	मतदाराला            ,	मातारााला           
rebipoor                    ,	रॅबीपूर             ,	रेबीपूर             
bassthanakawar              ,	बसस्थानकावर         ,	बस्््ानककावर        
pinaareanvirodhat           ,	पिणाऱ्यांविरोधात   ,	पिनारेनवििरोाात     
vebasaaeetsanaahee          ,	वेबसाईट्सनाही       ,	वेबसबतततसााी        
shetitoon                   ,	शेतीतून             ,	शेतीतून             
renakoot                    ,	रेनकोट              ,	रेणाकूत             
ghadavate                   ,	घडवते               ,		ावते               
lohatney                    ,	लोहाटने             ,	लोहतेने             
pratisthancha               ,	प्रतिष्ठानचा        ,	प्रतिस्तांचा        
kashtachi                   ,	कष्टाची             ,	का््ाची             
michael                     ,	मिशेल               ,	मिचाल               
asalelee                    ,	असलेली              ,		सलेली              
sansthene                   ,	संस्थेने            ,	संस््ेने            
frisco                      ,	फ्रिस्को            ,		्रिस्स             
pranahi                     ,	प्राणही             ,	प्रााही             
sabhatyag                   ,	सभात्याग            ,	सातत्यगग            
pramanech                   ,	प्रमाणेच            ,	प्रमाणेच            
bhadakale                   ,	भडकले               ,		ाकलेे              
dart                        ,	डर्ट                ,		रत्                
andarasana                  ,	अँडरसन              ,		ंारााना            
tollnaka                    ,	टोलनाका             ,	तोल्नकका            
tewari                      ,	तिवारी              ,	तेवरीी              
baavalaan                   ,	बावलान              ,	बावलन               
apuryaa                     ,	अपुर्या             ,		पुर्या             
gaalaavar                   ,	गालावर              ,	गळलावर              
haayalaait                  ,	हायलाइट             ,	हययलात              
taliban                     ,	तालिबान             ,	तालबबन              
skorpio                     ,	स्कॉर्पिओ           ,	स्कोर्पििि          
madagaskara                 ,	मादागास्कर          ,	मााासकका            
rapids                      ,	रॅपिड्स             ,	रपपिस्              
tantradnyane                ,	तंत्रज्ञाने         ,	तंत्रज््ानने        
zharkhand                   ,	झारखंड              ,		र्ांं              
havalnnache                 ,	हावळण्णाचे          ,	हववल्नाचे           
kartoy                      ,	करतोय               ,	करर्यय              
euclid                      ,	युक्लिड             ,	युक्लल              
rugnaavar                   ,	रुग्णावर            ,	रुग्णावर            
paso                        ,	पासो                ,	पास                 
patriket                    ,	पत्रिकेत            ,	पा््रकेत            
vinita                      ,	विनीता              ,	विनिता              
tut                         ,	तत्                 ,	तुत                 
lakshanancha                ,	लक्षणांचा           ,	लक्	ानंचचा          
reshepaleekadoon            ,	रेषेपलीकडून         ,	रेशपाळीककून         
hisar                       ,	हैसर                ,	हिसर                
foundationchya              ,	फाऊंडेशनच्या        ,		ों्ेननच्यय         
akolekaransathi             ,	अकोलेकरांसाठी       ,		कोलेकरांसााी       
tyanech                     ,	त्यानेच             ,	त्यानेच             
merta                       ,	मेरटा               ,	मेर्ा               
swaricha                    ,	स्वारीचा            ,	स्वरीचा             
upv                         ,	यूपीव्ही            ,		पवववही             
prachin                     ,	प्राचिन             ,	प्रचिन              
englandmadheel              ,	इंग्लंडमधील         ,		ंज्न्मममील         
raashtrapatinna             ,	राष्ट्रपतींना       ,	रा््््रपतींना       
mooth                       ,	मूठ                 ,	मू                  
sobteene                    ,	सोबतीने             ,	सोब्ीनन             
vyaap                       ,	व्याप               ,	व्याप               
sukalee                     ,	सुकली               ,	सुकली               
konfarasasaathee            ,	कॉन्फरससाठी         ,	कोंकारासााीी        
itaraannaahi                ,	इतरांनाही           ,		तरांनाहही          
potnivadnukaanmadhe         ,	पोटनिवडणुकांमधे     ,	पोत्निवललुकांममे    
hetler                      ,	हिटलर               ,	हेलरर               
troy                        ,	ट्रॉय               ,		्राय               
paakishtan                  ,	पाकिस्तान           ,	पककि््णन            
veej                        ,	वीज                 ,	विज                 
vyavasthela                 ,	व्यवस्थेला          ,	व्यासस््ेला         
jaltana                     ,	जळताना              ,	जलताना              
khilkhile                   ,	खिळखिळे             ,		िल्िलेे            
daptarche                   ,	दप्तरचे             ,		प््ररेे            
sivasagar                   ,	सिवासागर            ,	सिवासागर            
jaagrukta                   ,	जागरुकता            ,	जागरर््क            
bhaginee                    ,	भगिनी               ,		ागिनी              
treesi                      ,	ट्रेसी              ,	त्रिसी              
himalayachya                ,	हिमालयाच्या         ,	हिमालयाच्या         
chalalay                    ,	चाललाय              ,	चाललयय              
ahemadabadla                ,	अहमदाबादला          ,		हेमाबाा्ला         
lanpaasachea                ,	लंपासच्या           ,	लंपाााचे            
yaanchyaasamorachyaa        ,	यांच्यासमोरच्या     ,	यांच्यासामोरचच्य    
dombivaleechyaa             ,	डोंबिवलीच्या        ,		ोंबीवलीच्या        
mangan                      ,	मंगण                ,	मंगान               
janawarachya                ,	जनावराच्या          ,	जनावराच्या          
karavili                    ,	करविली              ,	काविवी              
barker                      ,	बेकर                ,	बारकर               
leach                       ,	लिच                 ,	लीच                 
chakrivadalacha             ,	चक्रीवादळाचा        ,	चक्तिवाााााा        
cook                        ,	कुक                 ,	कूक                 
kamatil                     ,	कामातील             ,	कममातील             
vibhagashee                 ,	विभागाशी            ,	वि	ागाशी            
chitrapatsrushti            ,	चित्रपटसृष्टी       ,	चित्रपा्त्््ी       
tharavile                   ,	ठरविले              ,		राविले             
vyavasthapanasathi          ,	व्यवस्थापनासाठी     ,	व्यास्््ापनासााी    
toophu                      ,	टोफू                ,	तूूू                
kline                       ,	क्लाइन              ,	क्लीने              
navanaveen                  ,	नवनवीन              ,	नवनणववनन            
amroha                      ,	अमरोहा              ,		म्ोहा              
must                        ,	मस्ट                ,	मुस्त               
beetal                      ,	बीटल                ,	बीतल                
ghasaralee                  ,	घसरली               ,		सरलील              
maandkey                    ,	मांडके              ,	मांकेे              
murteekarankadun            ,	मूर्तिकारांकडून     ,	मूर्तीकांंकूू       
javanankadunahee            ,	जवानांकडूनही        ,	जवानाककूनही         
dfrlche                     ,	डीएफआरएलचे          ,		ीसीसीचे            
shikshanaabaddalachyaa      ,	शिक्षणाबद्दलच्या    ,	शिक्	णाबा््लचच्या   
neil                        ,	नेईल                ,	नेल                 
male                        ,	मेल                 ,	माले                
aatmdrushteeche             ,	आत्मदृष्टीचे        ,	तत्म्््््ीचे        
samaarik                    ,	सामारिक             ,	समारिक              
dalalanna                   ,	दलालांना            ,		ळालांना            
moresby                     ,	मोरेस्बी            ,	मोरेसी              
sardaranni                  ,	सरदारांनी           ,	सररारांनी           
parna                       ,	पर्ण                ,	परना                
budhanche                   ,	बुद्धांचे           ,	बु	ांचे             
prashnabaabat               ,	प्रश्नाबाबत         ,	प्रशानाबाबतत        
kollam                      ,	कोलम                ,	कोल्ल               
premalpana                  ,	प्रेमळपणा           ,	प्रेमलपणण           
jaaminaasaathee             ,	जामिनासाठी          ,	जममननासााी          
yaprakarchya                ,	याप्रकारच्या        ,	याप्रकारचयया        
savara                      ,	सावर                ,	सावरा               
tithehi                     ,	तिथेही              ,	ति	ेही              
ovalanee                    ,	ओवाळणी              ,		वळणी               
swareecha                   ,	स्वारीचा            ,	स्वरचचा             
yenyasandarbhaatahee        ,	येण्यासंदर्भातही    ,	येण्यासंंर्ााती     
paristhitichi               ,	परिस्थितीची         ,	परिस््ितीची         
dental                      ,	डेंटल               ,		ेनलल               
karvaadh                    ,	करवाढ               ,	करववा               
dhulai                      ,	धुलाई               ,		ुला                
koparyaat                   ,	कोपऱ्यात           ,	कोपर्यात            
durgavansh                  ,	दुर्गावंश           ,		ुर्गववंश           
shaytkreamul                ,	शेतकऱ्यामुळं       ,	शायक्रेेममुळ        
atlaantikmdhe               ,	अटलांटिकमध्ये       ,		त्लंंिककम्े        
sankatancha                 ,	संकटांचा            ,	संकाांचा            
asadhy                      ,	असाध्य              ,	ससायी               
janmtat                     ,	जमतात               ,	जनमतात              
porwal                      ,	पोरवाल              ,	पोरववल              
vikaaskame                  ,	विकासकामे           ,	विकासकामम           
rogers                      ,	रॉजर                ,	रोजेसस              
sadarachee                  ,	सदरची               ,	साराचची             
karakhandar                 ,	कारखानदार           ,	कराांंर             
laksha                      ,	लक्ष                ,	लक््ा               
sanee                       ,	सनी                 ,	साीी                
parvachya                   ,	पर्वाचे             ,	परवाच््ाा           
dalbii                      ,	डॉल्बी              ,		ाबबी               
dangey                      ,	दंगे                ,		ागगी               
asalo                       ,	असलो                ,		सलो                
yasee                       ,	यासी                ,	यासी                
paathavate                  ,	पाठवते              ,	पाावते              
prasarmadhyamachaa          ,	प्रसारमाध्यमाचा     ,	प्रसा्माा्यमचाा     
praveshacha                 ,	प्रवेशाचा           ,	प्रवेशाचा           
mhanalet                    ,	म्हणालेत            ,	म्हानलेत            
shivarayanchi               ,	शिवरायांची          ,	शिवराययंची          
svarat                      ,	स्वरात              ,	स्वरर               
lim                         ,	लिम                 ,	लिम                 
mirabai                     ,	मीराबाई             ,	मिराबा              
vance                       ,	वान्स               ,	व्न्स्              
deevatyanna                 ,	दिवट्यांना          ,		िवत्यांना          
rugnavar                    ,	रुग्णावर            ,	रुग्णावर            
karaale                     ,	कराळे               ,	कराले               
khobanee                    ,	खोबणी               ,		ोबणी               
sonawane                    ,	सोनवणे              ,	सोनववाने            
rasaamadhe                  ,	रसामध्ये            ,	रससामेे             
akshamya                    ,	अक्षम्य             ,		क्शम्या            
pakistanmadheel             ,	पाकिस्तानमधील       ,	पाकिस्तांमीील       
akzo                        ,	एक्झॉ               ,		क्ोो               
paddhateencha               ,	पध्दतींचा           ,	पा्ततींचा           
devatance                   ,	देवतांचे            ,		ेव्हा्््स          
ballaad                     ,	बल्लाड              ,	बाललाा              
laaju                       ,	लाजु                ,	लाजू                
pyacket                     ,	पॅकेट               ,	प्याकेत             
mohimechya                  ,	मोहिमेच्या          ,	मोहिमेच्या          
