kshama                      ,	क्षमा               ,	क्	मम               
chaibasa                    ,	चैबासा              ,	चेबासा              
stutya                      ,	स्तुत्य             ,	स्तुत्या            
aamlapittaache              ,	आम्लपित्ताचे        ,	आमलापिट्टाचेे       
basow                       ,	बसोव                ,	बाोोव               
hitalarachya                ,	हिटलरच्या           ,	हितलाराच्या         
kaltanee                    ,	कलाटणी              ,	कल्तनी              
paishansaathi               ,	पैशांसाठी           ,	प	शांसााी           
warshabharaachyaa           ,	वर्षभराच्या         ,	वर्ााराााच्या       
tilanjali                   ,	तिलांजली            ,	तिलांजली            
pulajawal                   ,	पुलाजवळ             ,	पुलाजवव             
dinakramaamule              ,	दिनक्रमामुळे        ,	दिनक्रमाामुुे       
palale                      ,	पळाले               ,	पालले               
undarson                    ,	अँडरसन              ,	अंदरसनन             
vibhagache                  ,	विभागाचे            ,	वि	ागाचे            
khandobach                  ,	खंडोबाचं            ,	खांोोबच             
utpaadanaanmadhye           ,	उत्पादनांमध्ये      ,		त्पादनांमध्ये      
mahaasattaa                 ,	महासत्ता            ,	महासतत्त            
meetarmadhye                ,	मीटरमध्ये           ,	मीटरमध्ये           
utsavateel                  ,	उत्सवातील           ,		त्सवातील           
rajesh                      ,	राजेश               ,	राजेश               
katadeecha                  ,	कातडीचा             ,	कटटीीचा             
aathawalyaasaarakhaa        ,	आठवल्यासारखा        ,	आावल्यासारााखाा     
pachayla                    ,	पचायला              ,	पाचयला              
paishaasaathee              ,	पैशासाठी            ,	पशशाासााी           
dusaryachee                 ,	दुसऱ्याची           ,	दुसरर्याची          
jo                          ,	जो                  ,	जो                  
vibhagaavar                 ,	विभागावर            ,	वि	ागावरर           
sangneamule                 ,	सांगण्यामुळे        ,	संग्नेमुुेे         
pathbadavar                 ,	पाठबळावर            ,	पा्बाावर            
suchana                     ,	सुचना               ,	सुचना               
mohimedaramyan              ,	मोहिमेदरम्यान       ,	मोहिमेदारम्यान      
matee                       ,	मेट                 ,	मती                 
udya                        ,	उद्या               ,	ुद्या               
nachvat                     ,	नाचवत               ,	नाचवत               
dakaghar                    ,	डाकघर               ,	दकाारर              
otoon                       ,	ओतून                ,	अटून                
miqee                       ,	मिकी                ,	मिकी                
prayoganantar               ,	प्रयोगानंतर         ,	प्रयोगानंतर         
pathbalavar                 ,	पाठबळावर            ,	पा्बाावर            
zankaarlel                  ,	झंकारलेलं           ,	नाकररललल            
patan                       ,	पाटण                ,	पटनन                
satkar                      ,	सत्कार              ,	सतककर               
paklee                      ,	पाकळी               ,	पकली                
controls                    ,	कन्ट्रोल्स          ,	कंं््रोो्           
quick                       ,	क्विक               ,	क्यिक               
sambandhanvishyeechea       ,	संबंधांविषयीच्या    ,	संबंधधनवििययीच      
dawood                      ,	दाऊद                ,	दवूू                
moore                       ,	मोरे                ,	मूरे                
rajanvirodhat               ,	राजांविरोधात        ,	राजांविरोधात        
reach                       ,	रीच                 ,	रेचच                
rilif                       ,	रिलीफ               ,	रिलिि               
baabhlichi                  ,	बाभळीची             ,	बाललीची             
yanchyamadhye               ,	यांच्यामध्ये        ,	यांच्यामध्ये        
graham                      ,	ग्रॅहम              ,	ग्रहम               
sunavale                    ,	सुनावले             ,	सुनावले             
rajasthanatoon              ,	राजस्थानातून        ,	राजस््ानातून        
fiid                        ,	फीड                 ,		िय्                
pasha                       ,	पाशा                ,	पशा                 
vahtukeechee                ,	वाहतुकीची           ,	वाहतुकीची           
kharval                     ,	खरवळ                ,	खरवल                
satarave                    ,	सतरावे              ,	सततरावव             
aaropeemvirudha             ,	आरोपीमविरुद्ध       ,	आरोपीवररुुाा        
chinchwad                   ,	चिंचवड              ,	चिंचवा              
dandvate                    ,	दंडवते              ,	दांवतते             
lawyer                      ,	लॉयर                ,	लावयर               
chhata                      ,	छटा                 ,		ाता                
bishnupur                   ,	विष्णुपुर           ,	बिश्ूुपूर           
raajaanwirodhaat            ,	राजांविरोधात        ,	राजांविरोोधात       
pramukhant                  ,	प्रमुखांत           ,	प्रमुखांत           
traqing                     ,	ट्रॅकिंग            ,	ट्रेकिंगग           
jamirmadhye                 ,	जमीरमध्ये           ,	जामीरमध्ये          
sopaareananter              ,	सोपाऱ्यानंतर       ,	सोपरेेननटर          
barbaad                     ,	बरबाद               ,	बारबाा              
rokhala                     ,	रोखला               ,	रोखला               
pitali                      ,	पितळी               ,	पिटली               
aajamitis                   ,	आजमितीस             ,	आजामितीस            
kripa                       ,	कृपा                ,	क्रिपा              
miikee                      ,	मिकी                ,	मिकी                
shetkareancheababat         ,	शेतकऱ्यांच्याबाबत  ,	शेटारककााेेबाबत     
khasabag                    ,	खासबाग              ,	खासबबग              
paddhticha                  ,	पद्धतीचा            ,	पद््तीचा            
calhoun                     ,	कॅलहौन              ,	कालहहून             
dhwaniche                   ,	ध्वनीचे             ,	ध्वनीचे             
sanskaracha                 ,	संस्काराचा          ,	संस्काराचा          
ghatasthapana               ,	घटस्थापना           ,		टस््ापपा           
bhagwantache                ,	भगवंताचे            ,		गवांतचचे           
bhooprushtaakhaali          ,	भूपृष्ठाखाली        ,		ूपृृ्टाााली        
shivasainikaanviruddha      ,	शिवसैनिकांविरुद्ध   ,शिवसाििकानििवरुुदधध  
suranchi                    ,	सुरांची             ,	सुरांची             
maahaamargachee             ,	महामार्गाची         ,	महामार्गाची         
rakhadalaa                  ,	रखडला               ,	रखाााा              
vebsaitsvirodhaat           ,	वेबसाइट्सविरोधात    ,	वेबससबत्वररोधात     
shaw                        ,	शॉ                  ,	शाव                 
tamalvadit                  ,	तामलवाडीत           ,	तामलवाीीत           
sambandhachya               ,	संबंधाच्या          ,	संबंधाच्या          
falandaajeechee             ,	फलंदाजीची           ,	दलंदजजीची           
navnavin                    ,	नवनवीन              ,	नवनाविन             
aajmitis                    ,	आजमितीस             ,	आजमितीस             
suraksheche                 ,	सुरक्षेचे           ,	सुरक््ेचे           
barobarinech                ,	बरोबरीनेच           ,	बरोबररननच           
taratareet                  ,	तरतरीत              ,	तरातरीत             
rugnaalayaasandarbhaat      ,	रुग्णालयासंदर्भात   ,	रुग्ाालयाासंदर््ात  
tapmanavar                  ,	तापमानावर           ,	तापमानावर           
kaarvaaechee                ,	कारवाईची            ,	कारवााचच            
ayoowa                      ,	आयोवा               ,	आयूवा               
bhushan                     ,	भूषण                ,		ुशान               
wajlyaapaasoon              ,	वाजल्यापासून        ,	वाजल्यापााूून       
sinha                       ,	सिन्हा              ,	सिन्हा              
gulmarg                     ,	गुलमर्ग             ,	गुलामर्ग            
potnivadnukeesatheechee     ,	पोटनिवडणुकीसाठीची   ,	पोत्वनविुकीसीसीीची  
baltimore                   ,	बाल्टिमोर           ,	बालटममोर            
aadi                        ,	आदी                 ,	आदी                 
behere                      ,	बेहरे               ,	बेहेरे              
molina                      ,	मॉलिना              ,	मोलीना              
shail                       ,	शेल                 ,	शाल                 
agra                        ,	अग्र                ,	अग्र                
basawava                    ,	बसवावा              ,	बससवाा              
silvasa                     ,	सिल्व्हासा          ,	सिल्वास             
andhkarmay                  ,	अंधकारमय            ,	अंधक्रमयय           
trenton                     ,	ट्रेंटन             ,	ट्रेनटनन            
aarakshanaavar              ,	आरक्षणावर           ,	आरक्	ाावर           
janawaranchi                ,	जनावरांची           ,	जनााारंंी           
manjoor                     ,	मंजुर               ,	मंजूर               
enzyme                      ,	एंझाईम              ,	आन्िममे             
prakrnanaahi                ,	प्रकरणांनाही        ,	प्रक्र््ााही        
majbuteekaran               ,	मजबुतीकरण           ,	मजबुतीकरर           
mosley                      ,	मॉस्ले              ,	मोस्ले              
chini                       ,	चिनी                ,	चिनी                
solanki                     ,	सोळंकी              ,	सोलांकी             
masemarivar                 ,	मासेमारीवर          ,	मासेरारवर           
vaparata                    ,	वापरता              ,	वापराा              
prasuti                     ,	प्रसूति             ,	प्रसुती             
mandiravishayeechea         ,	मंदिराविषयीच्या     ,	मंदिराविियीचचय      
milion                      ,	मिलियन              ,	मायलनन              
mulansathi                  ,	मुलांसाठी           ,	मुलांसाीी           
naukar                      ,	नोकर                ,	नाकर                
busgaadyaanmadhye           ,	बसगाड्यांमध्ये      ,	बुसगाा्याांमध्ये    
yanchyapeksha               ,	यांच्यापेक्षा       ,	यांच्यापेक्ाा       
ranichya                    ,	राणीच्या            ,	राीीच्या            
changalach                  ,	चांगलाच             ,	चागगलाच             
putta                       ,	पुट्टा              ,	पुत्ता              
taatkal                     ,	तात्काळ             ,	तातकल               
thamabai                    ,	ठमाबाई              ,		ामााा              
thecharsobat                ,	थॅचरसोबत            ,	चेचारोसोत           
halat                       ,	हलत                 ,	हाता                
beshuddhpanaamule           ,	बेशुद्धपणामुळे      ,	बेशदुधपपााामुेे     
lekhateel                   ,	लेखातील             ,	लेखतील              
roonii                      ,	रूनी                ,	रूनी                
kalar                       ,	कलर                 ,	कलरर                
prayogatil                  ,	प्रयोगातील          ,	प्रयोगातील          
poole                       ,	पूल                 ,	पूले                
aashevar                    ,	आशेवर               ,	आशेवरर              
joq                         ,	जॉक                 ,	जोक                 
bahineechyaa                ,	बहिणीच्या           ,	बहिनीचच्या          
ashahee                     ,	अशाही               ,	अशाही               
pudukkottai                 ,	पुदुकोट्टाई         ,	पुदुकुकतत्ाा        
prashanansaathee            ,	प्रश्नांसाठी        ,	प्रशानांसााी        
raykar                      ,	रायकर               ,	रायकर               
bhookampane                 ,	भूकंपाने            ,	कूकंपपे             
jabalpur                    ,	जबलपूर              ,	जबापपूर             
aagekooch                   ,	आगेकूच              ,	आगेकूच              
upyogi                      ,	उपयोगी              ,		प्ोगी              
madar                       ,	मदर                 ,	मदरर                
pathavnyas                  ,	पाठवण्यास           ,	पााव्यासस           
ayoova                      ,	आयोवा               ,	अयूवा               
groundvrch                  ,	ग्राऊंडवरचं         ,	ग्रों््््च          
reghaanchya                 ,	रेघांच्या           ,	रे	ांच्या           
bronkaytis                  ,	ब्राँकायटिस         ,	ब्रोककााततस         
balakanchee                 ,	बालकांची            ,	बाकांचची            
boardache                   ,	बोर्डाचे            ,	बोर््ाचे            
vaganook                    ,	वागणूक              ,	वागूक               
bahinichya                  ,	बहिणीच्या           ,	बहिनीच्या           
aasaram                     ,	आसाराम              ,	आसररम               
mohimecha                   ,	मोहिमेचा            ,	मोहिमेचा            
chukli                      ,	चुकली               ,	चुकली               
agdi                        ,	अगदी                ,	अग्दी               
hiropanti                   ,	हिरोपनती            ,	हिरोपंती            
chembond                    ,	चेंबॉण्ड            ,	चेमबों्             
magdum                      ,	मगदूम               ,	माग्ूम              
suvarnayog                  ,	सुवर्णयुग           ,	सुवर््योग           
aarakhade                   ,	आराखडे              ,	आराखाे              
lavanyasathee               ,	लावण्यासाठी         ,	लाव््यासाीी         
paddhatee                   ,	पध्दती              ,	पद्धती              
tukadilaa                   ,	तुकडीला             ,	तुकाीला             
chadhaayalaa                ,	चढायला              ,	चााययला             
er                          ,	इयर                 ,	आरर                 
sanad                       ,	सनद                 ,	सननद                
sheareemadhye               ,	शेअरीमध्ये          ,	शियरीमध्ये          
aaikadun                    ,	आईकडून              ,	आाककून              
prashnaanmule               ,	प्रश्नांमुळे        ,	प्रश्नांमुुे        
matadaaraalaa               ,	मतदाराला            ,	मतदाराराला          
rebipoor                    ,	रॅबीपूर             ,	रेबिपूर             
bassthanakawar              ,	बसस्थानकावर         ,	बसस््ानकााार        
pinaareanvirodhat           ,	पिणाऱ्यांविरोधात   ,	पिनारींवररोोोात     
vebasaaeetsanaahee          ,	वेबसाईट्सनाही       ,	वेबससेटससहहह        
shetitoon                   ,	शेतीतून             ,	शेतीतून             
renakoot                    ,	रेनकोट              ,	रेनाकूट             
ghadavate                   ,	घडवते               ,		ावतेे              
lohatney                    ,	लोहाटने             ,	लोहतने              
pratisthancha               ,	प्रतिष्ठानचा        ,	प्रतिस््ांचा        
kashtachi                   ,	कष्टाची             ,	का्टाची             
michael                     ,	मिशेल               ,	मिचाल               
asalelee                    ,	असलेली              ,	असलेली              
sansthene                   ,	संस्थेने            ,	संस््ेने            
frisco                      ,	फ्रिस्को            ,		्रिस्को            
pranahi                     ,	प्राणही             ,	प्रााही             
sabhatyag                   ,	सभात्याग            ,	साात्या             
pramanech                   ,	प्रमाणेच            ,	प्रमानेच            
bhadakale                   ,	भडकले               ,		ाकले               
dart                        ,	डर्ट                ,	दार्ट               
andarasana                  ,	अँडरसन              ,	अंदराााा            
tollnaka                    ,	टोलनाका             ,	टोलनाका             
tewari                      ,	तिवारी              ,	तेवरी               
baavalaan                   ,	बावलान              ,	बावला               
apuryaa                     ,	अपुर्या             ,	अपुर्यय             
gaalaavar                   ,	गालावर              ,	गालाावर             
haayalaait                  ,	हायलाइट             ,	हायलाात             
taliban                     ,	तालिबान             ,	तािबबान             
skorpio                     ,	स्कॉर्पिओ           ,	स्कोर्पियो          
madagaskara                 ,	मादागास्कर          ,	मदागासकर            
rapids                      ,	रॅपिड्स             ,	रापिस्स             
tantradnyane                ,	तंत्रज्ञाने         ,	तंत्रज्जाने         
zharkhand                   ,	झारखंड              ,	खर्ांद              
havalnnache                 ,	हावळण्णाचे          ,	हववल्ंनाचे          
kartoy                      ,	करतोय               ,	कारटोय              
euclid                      ,	युक्लिड             ,	कक्लि               
rugnaavar                   ,	रुग्णावर            ,	रुग्ाावर            
paso                        ,	पासो                ,	पासो                
patriket                    ,	पत्रिकेत            ,	पात्रकेक            
vinita                      ,	विनीता              ,	विनिटा              
tut                         ,	तत्                 ,	तुआ                 
lakshanancha                ,	लक्षणांचा           ,	लक््ाांचा           
reshepaleekadoon            ,	रेषेपलीकडून         ,	रेशेपालीकूून        
hisar                       ,	हैसर                ,	हिसर                
foundationchya              ,	फाऊंडेशनच्या        ,		ुंेेननच्या         
akolekaransathi             ,	अकोलेकरांसाठी       ,	अकोलेकरांसााी       
tyanech                     ,	त्यानेच             ,	त्यानेच             
merta                       ,	मेरटा               ,	मेरटा               
swaricha                    ,	स्वारीचा            ,	स्वरीचा             
upv                         ,	यूपीव्ही            ,	आपीव्ह              
prachin                     ,	प्राचिन             ,	प्रचिन              
englandmadheel              ,	इंग्लंडमधील         ,		ंग्लाममधील         
raashtrapatinna             ,	राष्ट्रपतींना       ,	राा्ट्रपतींंना      
mooth                       ,	मूठ                 ,	मूू                 
sobteene                    ,	सोबतीने             ,	सोब्टीने            
vyaap                       ,	व्याप               ,	व्याप               
sukalee                     ,	सुकली               ,	सुकली               
konfarasasaathee            ,	कॉन्फरससाठी         ,	कोनाराासाााी        
itaraannaahi                ,	इतरांनाही           ,	ततराांनाही          
potnivadnukaanmadhe         ,	पोटनिवडणुकांमधे     ,	पोटनवविदूककांमधे    
hetler                      ,	हिटलर               ,	हेटलर               
troy                        ,	ट्रॉय               ,	ट्रोय               
paakishtan                  ,	पाकिस्तान           ,	पाकिट्टन            
veej                        ,	वीज                 ,	वीज                 
vyavasthela                 ,	व्यवस्थेला          ,	व्यास््ेेला         
jaltana                     ,	जळताना              ,	जलतााा              
khilkhile                   ,	खिळखिळे             ,	खिलखिले             
daptarche                   ,	दप्तरचे             ,	दा्तरचचे            
sivasagar                   ,	सिवासागर            ,	सिवासगगर            
jaagrukta                   ,	जागरुकता            ,	जगगृक्त             
bhaginee                    ,	भगिनी               ,	ाागिनी              
treesi                      ,	ट्रेसी              ,	ट्रीसी              
himalayachya                ,	हिमालयाच्या         ,	हिमालयाच्या         
chalalay                    ,	चाललाय              ,	चालाय               
ahemadabadla                ,	अहमदाबादला          ,	अहेमादाबाला         
lanpaasachea                ,	लंपासच्या           ,	लापपाााचे           
yaanchyaasamorachyaa        ,	यांच्यासमोरच्या     ,	यांच्याचसमोराच्या   
dombivaleechyaa             ,	डोंबिवलीच्या        ,	दोमबीवललीच्या       
mangan                      ,	मंगण                ,	मांग                
janawarachya                ,	जनावराच्या          ,	जनााराच्या          
karavili                    ,	करविली              ,	करविली              
barker                      ,	बेकर                ,	बारकर               
leach                       ,	लिच                 ,	लेचच                
chakrivadalacha             ,	चक्रीवादळाचा        ,	चक्रीवादााचा        
cook                        ,	कुक                 ,	कुक                 
kamatil                     ,	कामातील             ,	कामातल              
vibhagashee                 ,	विभागाशी            ,	वि	ागाशी            
chitrapatsrushti            ,	चित्रपटसृष्टी       ,	चित्रपटसृृ्टी       
tharavile                   ,	ठरविले              ,		रविलेे             
vyavasthapanasathi          ,	व्यवस्थापनासाठी     ,	व्यवस्यापनासााी     
toophu                      ,	टोफू                ,	तूूू                
kline                       ,	क्लाइन              ,	क्लीने              
navanaveen                  ,	नवनवीन              ,	नवनववीन             
amroha                      ,	अमरोहा              ,	अम्ोहा              
must                        ,	मस्ट                ,	मस्ट                
beetal                      ,	बीटल                ,	बीतल                
ghasaralee                  ,	घसरली               ,		ासरली              
maandkey                    ,	मांडके              ,	मां्केे             
murteekarankadun            ,	मूर्तिकारांकडून     ,	मूर्तीकरांकूून      
javanankadunahee            ,	जवानांकडूनही        ,	जवनांककूनही         
dfrlche                     ,	डीएफआरएलचे          ,	आीआरआलची            
shikshanaabaddalachyaa      ,	शिक्षणाबद्दलच्या    ,	शिक्	ाााबद्दलचच्या  
neil                        ,	नेईल                ,	नेली                
male                        ,	मेल                 ,	माले                
aatmdrushteeche             ,	आत्मदृष्टीचे        ,	आत्दृ््टीचच         
samaarik                    ,	सामारिक             ,	सामररिक             
dalalanna                   ,	दलालांना            ,	दलाांंना            
moresby                     ,	मोरेस्बी            ,	मोरेसबबी            
sardaranni                  ,	सरदारांनी           ,	सरदााांनी           
parna                       ,	पर्ण                ,	परराा               
budhanche                   ,	बुद्धांचे           ,	बुधांचे             
prashnabaabat               ,	प्रश्नाबाबत         ,	प्रश्नबाबबत         
kollam                      ,	कोलम                ,	कललमम               
premalpana                  ,	प्रेमळपणा           ,	प्रेमापपा           
jaaminaasaathee             ,	जामिनासाठी          ,	जामिनासााीी         
yaprakarchya                ,	याप्रकारच्या        ,	याप्रकरच्या         
savara                      ,	सावर                ,	साााा               
